date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:39	42/42	---M--	200	added ('OK')	text/plain	date:Wed,%2007%20Aug%202019%2018:25:52%20GMT	https://bookwritingfounders.com/robots.txt		(from )
13:19:39	93593/93593	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Mar%202021%2008:19:38%20GMT	https://bookwritingfounders.com/	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com//	(from )
13:19:40	2084/2084	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2015:19:49%20GMT	https://bookwritingfounders.com/assets//images/favicon.png	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/favicon.png	(from https://bookwritingfounders.com/)
13:19:41	37414/37414	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-9226%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css	C:/My%20Web%20Sites/bookwritingfounders/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css	(from https://bookwritingfounders.com/)
13:19:41	340689/340689	---M--	200	added ('OK')	text/css	date:Wed,%2025%20Nov%202020%2017:37:57%20GMT	https://bookwritingfounders.com/assets/css/m-style.css	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/css/m-style.css	(from https://bookwritingfounders.com/)
13:19:42	275553/275553	---M--	200	added ('OK')	text/css	date:Thu,%2017%20Dec%202020%2018:11:49%20GMT	https://bookwritingfounders.com/assets/css/style.css	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/css/style.css	(from https://bookwritingfounders.com/)
13:19:42	8137/8137	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Jun%202019%2020:27:14%20GMT	https://bookwritingfounders.com/assets/images/popup-img.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/popup-img.jpg	(from https://bookwritingfounders.com/)
13:19:42	6970/6970	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2029%20Feb%202020%2004:40:20%20GMT	https://bookwritingfounders.com/assets/images/logo-light.svg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/logo-light.svg	(from https://bookwritingfounders.com/)
13:19:43	243/243	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Mar%202021%2008:19:42%20GMT	http://bookwritingfounders.com/services	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/services.6.delayed	(from https://bookwritingfounders.com/)
13:19:44	53425/53425	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Mar%202021%2008:19:43%20GMT	https://bookwritingfounders.com/services	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/services.html	(from https://bookwritingfounders.com/)
